s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.678,0.22,0.3,0.65,1.8,3.0,0.0972,0.1375,-0.4886,0,-0.0356,0.5593,0.22,0.3,0.65,2.1818,3.0,0.0972,0.1667,-0.593,False,-0.009
0.9444,0.68,0.65,0.6,0.2206,0.5,0.8333,0.0662,0.0,0,0.0167,0.9444,0.68,0.65,0.6,0.1618,0.5,1.1364,0.0662,0.7868,False,-0.0189
0.6038,0.58,0.3,0.7,1.7188,1.4,0.0909,0.1719,0.0,1,0.0302,0.6038,0.58,0.3,0.7,1.7188,1.4,0.0909,0.1719,-0.4159,False,0.1366
0.5349,0.7,0.25,0.85,2.3913,2.2,0.1636,0.3696,-0.7184,0,0.0,0.5349,0.7,0.25,0.85,2.3913,2.2,0.1636,0.3696,-0.7306,False,0.0066
0.3077,0.62,0.45,0.9,3.4167,1.1111,0.122,0.4583,0.4277,0,-1.1308,0.0,0.62,0.45,0.9,1.0,1.1111,0.122,1.0,-0.2171,True,-1.1308
0.0556,0.74,0.2,0.95,20.0,2.2,0.25,4.25,-0.8208,2,0.2,0.0556,0.74,0.2,0.95,20.0,2.2,0.25,4.25,-0.81,True,0.2
0.6026,0.36,0.65,0.75,0.0638,3.0,4.8333,0.1383,0.5245,0,0.0038,0.6026,0.36,0.65,0.75,0.0426,3.0,7.25,0.1383,0.5967,False,0.0038
0.4516,0.58,0.75,0.6,1.2857,1.2,0.8056,0.75,0.0,2,0.0,0.4516,0.58,0.75,0.6,1.2857,1.2,0.8056,0.75,-0.3862,True,0.0
0.3929,0.74,0.65,0.6,1.3636,0.7143,1.1,0.7727,-0.412,2,-0.0107,0.3571,0.74,0.65,0.6,1.5,0.7143,1.1,0.85,-0.3734,False,-0.0107
0.2553,0.2,0.55,0.55,1.0,0.8,1.0417,0.4583,-0.2243,1,0.0128,0.2553,0.2,0.55,0.55,1.0,0.8,1.0417,0.4583,-0.2392,False,-0.0175
0.234,0.32,0.35,0.95,4.0909,2.0,0.1556,0.6818,-0.5923,1,0.0053,0.2128,0.32,0.35,0.95,4.5,2.0,0.1556,0.75,-0.5211,False,0.1373
0.2979,0.28,0.35,0.7,1.9286,1.0,0.2222,0.3214,0.6055,0,-0.0638,0.0851,0.28,0.35,0.7,6.75,1.0,0.2222,1.125,0.2053,False,-0.0638
0.7705,0.82,0.65,0.7,0.1064,0.3333,2.1,0.0532,0.83,0,0.0,0.7705,0.82,0.65,0.7,0.1064,0.3333,2.1,0.0532,0.3476,False,-0.0532
0.7843,0.26,0.25,0.85,1.3,1.3333,0.0962,0.1375,-0.4254,1,-0.0373,0.5294,0.26,0.25,0.85,1.9259,1.3333,0.0962,0.2037,-0.5844,False,-0.0373
0.125,0.26,0.35,0.7,9.5,2.0,0.1228,0.75,-0.6314,2,0.2,0.125,0.26,0.35,0.7,9.5,2.0,0.1228,0.75,-0.6485,True,0.2
0.5484,0.44,0.65,0.95,1.4118,9.0,0.7292,0.6765,0.0,2,0.0,0.5484,0.44,0.65,0.95,1.4118,9.0,0.7292,0.6765,-0.2919,True,0.0
0.35,0.42,0.2,0.95,4.9286,2.3333,0.1304,0.6071,-0.7189,2,0.0,0.35,0.42,0.2,0.95,4.9286,2.3333,0.1304,0.6071,-0.6851,True,0.0
0.4,0.56,0.8,0.65,1.8333,1.75,0.7955,0.7083,0.0,2,-1.17,0.0,0.56,0.8,0.65,1.0,1.75,0.7955,1.0,-0.6738,True,-1.17
0.129,0.42,0.45,0.8,15.25,0.9,0.0984,1.875,0.0,2,-0.0194,0.0645,0.42,0.45,0.8,30.5,0.9,0.0984,3.75,-0.7232,False,0.1706
0.6226,0.9,0.7,0.8,0.4545,0.875,0.7,0.1667,0.0,0,0.0,0.5472,0.9,0.7,0.8,0.3793,0.875,0.9545,0.1897,0.6649,False,0.5175
0.1778,0.32,0.45,0.85,3.25,1.0,0.2308,0.9375,-0.0275,2,-0.02,0.1111,0.32,0.45,0.85,5.2,1.0,0.2308,1.5,-0.2038,False,0.17
0.6167,0.66,0.5,0.75,0.4324,1.0,0.8438,0.1757,0.0,2,0.0,0.6167,0.66,0.5,0.75,0.4324,1.0,0.8438,0.1757,-0.2659,True,0.0
0.7703,0.14,0.8,0.45,0.193,1.5,1.5,0.0614,0.7644,0,0.0041,0.6622,0.14,0.8,0.45,0.0408,1.5,8.25,0.0714,0.7806,False,0.0041
0.3276,0.54,0.7,0.7,0.6316,0.8889,0.7083,0.3421,0.5829,0,-0.0621,0.1034,0.54,0.7,0.7,1.8333,0.8889,0.7727,1.0833,0.5951,False,-0.0621
0.8696,0.96,0.4,0.75,1.55,1.3333,0.0806,0.1125,0.0,1,-0.0413,0.587,0.96,0.4,0.75,2.2963,1.3333,0.0806,0.1667,-0.6261,False,-0.0046
0.8519,0.56,0.6,0.75,0.2826,1.0,0.8077,0.0978,0.0,1,0.0259,0.7963,0.56,0.6,0.75,0.3023,1.0,0.8077,0.1047,-0.3024,False,0.0626
0.3226,0.48,0.7,0.8,2.3,1.25,0.7609,0.75,0.4531,0,0.0774,0.3226,0.48,0.7,0.8,1.5,1.25,1.1667,0.75,0.5472,False,0.6514
0.3393,0.64,0.55,0.65,0.7895,1.0,0.7,0.3421,-0.2328,1,-0.0045,0.2679,0.64,0.55,0.65,1.0,1.0,0.7,0.4333,-0.3423,False,-0.0353
0.0625,0.44,0.55,0.9,16.0,0.9,0.25,4.75,-0.5547,2,0.2,0.0625,0.44,0.55,0.9,16.0,0.9,0.25,4.75,-0.4717,True,0.2
0.1579,0.8,0.4,0.95,14.1667,3.5,0.0824,1.9167,0.0,2,0.2,0.1579,0.8,0.4,0.95,14.1667,3.5,0.0824,1.9167,-0.5513,True,0.2
0.625,0.5,0.4,0.6,0.88,0.7143,0.4091,0.26,0.0,0,-0.0375,0.475,0.5,0.4,0.6,1.1053,0.7143,0.4286,0.3421,0.393,False,0.0116
